n,c,s,trial
41000,324084,324084,6
42000,334016,334016,6
43000,342996,342996,6
44000,352048,352048,6
45000,360124,360124,6
46000,369104,369104,6
47000,377212,377212,6
48000,385216,385216,6
49000,392388,392388,6
50000,401952,401952,6
1000,5044,5044,7
2000,11088,11088,7
3000,18076,18076,7
4000,24176,24176,7
5000,32004,32004,7
6000,39152,39152,7
7000,46180,46180,7
8000,52352,52352,7
9000,60796,60796,7
10000,69008,69008,7
11000,77012,77012,7
12000,84304,84304,7
13000,92036,92036,7
14000,99360,99360,7
15000,106364,106364,7
16000,112704,112704,7
17000,121188,121188,7
18000,130592,130592,7
19000,139580,139580,7
20000,148016,148016,7
21000,156508,156508,7
22000,165024,165024,7
23000,173052,173052,7
24000,180608,180608,7
25000,188476,188476,7
26000,197072,197072,7
27000,205068,205068,7
28000,212720,212720,7
29000,220044,220044,7
30000,227728,227728,7
31000,234708,234708,7
32000,241408,241408,7
33000,248588,248588,7
34000,259376,259376,7
35000,269364,269364,7
36000,279184,279184,7
37000,288292,288292,7
38000,298160,298160,7
39000,307140,307140,7
40000,316032,316032,7
41000,324084,324084,7
42000,334016,334016,7
43000,342996,342996,7
44000,352048,352048,7
45000,360124,360124,7
46000,369104,369104,7
47000,377212,377212,7
48000,385216,385216,7
49000,392388,392388,7
50000,401952,401952,7
1000,5044,5044,8
2000,11088,11088,8
3000,18076,18076,8
4000,24176,24176,8
5000,32004,32004,8
6000,39152,39152,8
7000,46180,46180,8
8000,52352,52352,8
9000,60796,60796,8
10000,69008,69008,8
11000,77012,77012,8
12000,84304,84304,8
13000,92036,92036,8
14000,99360,99360,8
15000,106364,106364,8
16000,112704,112704,8
17000,121188,121188,8
18000,130592,130592,8
19000,139580,139580,8
20000,148016,148016,8
21000,156508,156508,8
22000,165024,165024,8
23000,173052,173052,8
24000,180608,180608,8
25000,188476,188476,8
26000,197072,197072,8
27000,205068,205068,8
28000,212720,212720,8
29000,220044,220044,8
30000,227728,227728,8
31000,234708,234708,8
32000,241408,241408,8
33000,248588,248588,8
34000,259376,259376,8
35000,269364,269364,8
36000,279184,279184,8
37000,288292,288292,8
38000,298160,298160,8
39000,307140,307140,8
40000,316032,316032,8
41000,324084,324084,8
42000,334016,334016,8
43000,342996,342996,8
44000,352048,352048,8
45000,360124,360124,8
46000,369104,369104,8
47000,377212,377212,8
48000,385216,385216,8
49000,392388,392388,8
50000,401952,401952,8
1000,5044,5044,9
2000,11088,11088,9
3000,18076,18076,9
4000,24176,24176,9
5000,32004,32004,9
6000,39152,39152,9
7000,46180,46180,9
8000,52352,52352,9
9000,60796,60796,9
10000,69008,69008,9
11000,77012,77012,9
12000,84304,84304,9
13000,92036,92036,9
14000,99360,99360,9
15000,106364,106364,9
16000,112704,112704,9
17000,121188,121188,9
18000,130592,130592,9
19000,139580,139580,9
20000,148016,148016,9
21000,156508,156508,9
22000,165024,165024,9
23000,173052,173052,9
24000,180608,180608,9
25000,188476,188476,9
26000,197072,197072,9
27000,205068,205068,9
28000,212720,212720,9
29000,220044,220044,9
30000,227728,227728,9
31000,234708,234708,9
32000,241408,241408,9
33000,248588,248588,9
34000,259376,259376,9
35000,269364,269364,9
36000,279184,279184,9
37000,288292,288292,9
38000,298160,298160,9
39000,307140,307140,9
40000,316032,316032,9
41000,324084,324084,9
42000,334016,334016,9
43000,342996,342996,9
44000,352048,352048,9
45000,360124,360124,9
46000,369104,369104,9
47000,377212,377212,9
48000,385216,385216,9
49000,392388,392388,9
50000,401952,401952,9
1000,5044,5044,10
2000,11088,11088,10
3000,18076,18076,10
4000,24176,24176,10
5000,32004,32004,10
6000,39152,39152,10
7000,46180,46180,10
8000,52352,52352,10
9000,60796,60796,10
10000,69008,69008,10
11000,77012,77012,10
12000,84304,84304,10
13000,92036,92036,10
14000,99360,99360,10
15000,106364,106364,10
16000,112704,112704,10
17000,121188,121188,10
18000,130592,130592,10
19000,139580,139580,10
20000,148016,148016,10
21000,156508,156508,10
22000,165024,165024,10
23000,173052,173052,10
24000,180608,180608,10
25000,188476,188476,10
26000,197072,197072,10
27000,205068,205068,10
28000,212720,212720,10
29000,220044,220044,10
30000,227728,227728,10
31000,234708,234708,10
32000,241408,241408,10
33000,248588,248588,10
34000,259376,259376,10
35000,269364,269364,10
36000,279184,279184,10
37000,288292,288292,10
38000,298160,298160,10
39000,307140,307140,10
40000,316032,316032,10
41000,324084,324084,10
42000,334016,334016,10
43000,342996,342996,10
44000,352048,352048,10
45000,360124,360124,10
46000,369104,369104,10
47000,377212,377212,10
48000,385216,385216,10
49000,392388,392388,10
50000,401952,401952,10
