n,c,s,trial
16000,102713652,52596170,5
17000,116558392,59729102,5
18000,131446617,67229136,5
19000,144561420,73936967,5
20000,161097631,82456423,5
21000,179053726,91863076,5
22000,195081957,99741348,5
23000,213398578,109582287,5
24000,232855015,119257564,5
25000,251396412,128760060,5
26000,270298427,138553619,5
27000,296432410,151602262,5
28000,316556649,162059993,5
29000,337654236,172719058,5
30000,362997143,185675952,5
31000,387972254,198838508,5
32000,412761815,211298606,5
33000,441112825,225999488,5
34000,466615192,238857713,5
35000,496986130,254526908,5
36000,522636653,267567338,5
37000,552013774,282911507,5
38000,586441251,300647256,5
39000,615505863,315451698,5
40000,644518270,330070112,5
41000,677392764,347145636,5
42000,711255571,364125473,5
43000,745432811,382163053,5
44000,783487234,400837436,5
45000,819005955,419606975,5
46000,852908042,436342603,5
47000,894966995,459091530,5
48000,932059730,477188951,5
49000,972189997,497868088,5
50000,1009017096,516178600,5
1000,408348,209428,6
2000,1611714,823905,6
3000,3703897,1885252,6
4000,6538890,3358636,6
5000,10126369,5195344,6
6000,14739193,7588086,6
7000,19732768,10078493,6
8000,25792924,13235285,6
9000,32441325,16612539,6
10000,40104088,20573059,6
11000,48634687,24903003,6
12000,57578645,29526499,6
13000,68093715,34863208,6
14000,79347539,40670352,6
15000,90669530,46368459,6
16000,103789049,53185076,6
17000,116272302,59532448,6
18000,131290864,67128968,6
19000,144928475,74455988,6
20000,161627127,82719671,6
21000,176910341,90412350,6
22000,196044222,100465080,6
23000,212833060,109072310,6
24000,233338532,119509923,6
25000,252534089,129582763,6
26000,272290901,139556861,6
27000,294409219,150617452,6
28000,315343932,161742232,6
29000,339911177,174051136,6
30000,363486717,186179352,6
31000,385032647,197347993,6
32000,413582994,211665694,6
33000,440982211,225273064,6
34000,465857491,239351889,6
35000,492587157,252005607,6
36000,518353477,265384803,6
37000,552526950,282714472,6
38000,581938668,298278475,6
39000,617952235,316175631,6
40000,647378717,332188590,6
41000,672195329,344305281,6
42000,716065112,366839302,6
43000,747530364,382482379,6
44000,774425805,396181357,6
45000,813225390,416446953,6
46000,856983464,439296391,6
47000,889952466,456228074,6
48000,933095089,478083924,6
49000,965626532,494427772,6
50000,1006832207,514775470,6
1000,403672,205872,7
2000,1639195,838719,7
3000,3631704,1860498,7
4000,6503638,3315230,7
5000,9983519,5116052,7
6000,14674690,7501808,7
7000,19642169,10075393,7
8000,26026610,13338791,7
9000,32709905,16717045,7
10000,40574296,20777277,7
11000,48850742,24956747,7
12000,57504593,29450282,7
13000,67917682,34825402,7
14000,78831629,40493350,7
15000,91040669,46562986,7
16000,103461384,52997749,7
17000,116291522,59453317,7
18000,130829274,67048130,7
19000,146384768,74864767,7
20000,161297049,82622834,7
21000,176841875,90518315,7
22000,194043763,99614945,7
23000,213695274,109297731,7
24000,231316946,118503302,7
25000,251557128,128642849,7
26000,274261111,140671347,7
27000,293756519,150359519,7
28000,315866989,161776639,7
29000,338960862,173574273,7
30000,364124043,186360085,7
31000,389527827,199395425,7
32000,411386321,210801719,7
33000,435694986,223225680,7
34000,466177054,239277013,7
35000,491539968,251669032,7
36000,524005706,268369995,7
37000,551851167,282829140,7
38000,580702268,298045930,7
39000,614867898,314697871,7
40000,644835724,329826571,7
41000,681434140,349289522,7
42000,709905587,363797686,7
43000,742490256,380654035,7
44000,783726688,400835432,7
45000,810504689,415377028,7
46000,853254128,436789345,7
