n,c,s,trial
6000,17997000,17997000,7
7000,24496500,24496500,7
8000,31996000,31996000,7
9000,40495500,40495500,7
10000,49995000,49995000,7
11000,60494500,60494500,7
12000,71994000,71994000,7
13000,84493500,84493500,7
14000,97993000,97993000,7
15000,112492500,112492500,7
16000,127992000,127992000,7
17000,144491500,144491500,7
18000,161991000,161991000,7
19000,180490500,180490500,7
20000,199990000,199990000,7
21000,220489500,220489500,7
22000,241989000,241989000,7
23000,264488500,264488500,7
24000,287988000,287988000,7
25000,312487500,312487500,7
26000,337987000,337987000,7
27000,364486500,364486500,7
28000,391986000,391986000,7
29000,420485500,420485500,7
30000,449985000,449985000,7
31000,480484500,480484500,7
32000,511984000,511984000,7
33000,544483500,544483500,7
34000,577983000,577983000,7
35000,612482500,612482500,7
36000,647982000,647982000,7
37000,684481500,684481500,7
38000,721981000,721981000,7
39000,760480500,760480500,7
40000,799980000,799980000,7
41000,840479500,840479500,7
42000,881979000,881979000,7
43000,924478500,924478500,7
44000,967978000,967978000,7
45000,1012477500,1012477500,7
46000,1057977000,1057977000,7
47000,1104476500,1104476500,7
48000,1151976000,1151976000,7
49000,1200475500,1200475500,7
50000,1249975000,1249975000,7
1000,499500,499500,8
2000,1999000,1999000,8
3000,4498500,4498500,8
4000,7998000,7998000,8
5000,12497500,12497500,8
6000,17997000,17997000,8
7000,24496500,24496500,8
8000,31996000,31996000,8
9000,40495500,40495500,8
10000,49995000,49995000,8
11000,60494500,60494500,8
12000,71994000,71994000,8
13000,84493500,84493500,8
14000,97993000,97993000,8
15000,112492500,112492500,8
16000,127992000,127992000,8
17000,144491500,144491500,8
18000,161991000,161991000,8
19000,180490500,180490500,8
20000,199990000,199990000,8
21000,220489500,220489500,8
22000,241989000,241989000,8
23000,264488500,264488500,8
24000,287988000,287988000,8
25000,312487500,312487500,8
26000,337987000,337987000,8
27000,364486500,364486500,8
28000,391986000,391986000,8
29000,420485500,420485500,8
30000,449985000,449985000,8
31000,480484500,480484500,8
32000,511984000,511984000,8
33000,544483500,544483500,8
34000,577983000,577983000,8
35000,612482500,612482500,8
36000,647982000,647982000,8
37000,684481500,684481500,8
38000,721981000,721981000,8
39000,760480500,760480500,8
40000,799980000,799980000,8
41000,840479500,840479500,8
42000,881979000,881979000,8
43000,924478500,924478500,8
44000,967978000,967978000,8
45000,1012477500,1012477500,8
46000,1057977000,1057977000,8
47000,1104476500,1104476500,8
48000,1151976000,1151976000,8
49000,1200475500,1200475500,8
50000,1249975000,1249975000,8
1000,499500,499500,9
2000,1999000,1999000,9
3000,4498500,4498500,9
4000,7998000,7998000,9
5000,12497500,12497500,9
6000,17997000,17997000,9
7000,24496500,24496500,9
8000,31996000,31996000,9
9000,40495500,40495500,9
10000,49995000,49995000,9
11000,60494500,60494500,9
12000,71994000,71994000,9
13000,84493500,84493500,9
14000,97993000,97993000,9
15000,112492500,112492500,9
16000,127992000,127992000,9
17000,144491500,144491500,9
18000,161991000,161991000,9
19000,180490500,180490500,9
20000,199990000,199990000,9
21000,220489500,220489500,9
22000,241989000,241989000,9
23000,264488500,264488500,9
24000,287988000,287988000,9
25000,312487500,312487500,9
26000,337987000,337987000,9
27000,364486500,364486500,9
28000,391986000,391986000,9
29000,420485500,420485500,9
30000,449985000,449985000,9
31000,480484500,480484500,9
32000,511984000,511984000,9
33000,544483500,544483500,9
34000,577983000,577983000,9
35000,612482500,612482500,9
36000,647982000,647982000,9
37000,684481500,684481500,9
38000,721981000,721981000,9
