n,c,s,trial
4000,24192,24192,6
5000,30483,30483,6
6000,37528,37528,6
7000,44565,44565,6
8000,52360,52360,6
9000,58964,58964,6
10000,65990,65990,6
11000,73133,73133,6
12000,81066,81066,6
13000,88536,88536,6
14000,96086,96086,6
15000,104115,104115,6
16000,112873,112873,6
17000,120001,120001,6
18000,126941,126941,6
19000,134126,134126,6
20000,142007,142007,6
21000,149754,149754,6
22000,157366,157366,6
23000,165619,165619,6
24000,174374,174374,6
25000,182518,182518,6
26000,189972,189972,6
27000,198098,198098,6
28000,206248,206248,6
29000,214965,214965,6
30000,223236,223236,6
31000,232372,232372,6
32000,241618,241618,6
33000,250718,250718,6
34000,257139,257139,6
35000,264430,264430,6
36000,271843,271843,6
37000,279960,279960,6
38000,287300,287300,6
39000,295740,295740,6
40000,304087,304087,6
41000,313200,313200,6
42000,320398,320398,6
43000,328700,328700,6
44000,336873,336873,6
45000,346081,346081,6
46000,354252,354252,6
47000,363318,363318,6
48000,372520,372520,6
49000,382547,382547,6
50000,390071,390071,6
1000,5056,5056,7
2000,11096,11096,7
3000,17259,17259,7
4000,24220,24220,7
5000,30534,30534,7
6000,37547,37547,7
7000,44561,44561,7
8000,52402,52402,7
9000,58912,58912,7
10000,66032,66032,7
11000,73247,73247,7
12000,81072,81072,7
13000,88449,88449,7
14000,96112,96112,7
15000,104136,104136,7
16000,112872,112872,7
17000,120098,120098,7
18000,126956,126956,7
19000,134201,134201,7
20000,141917,141917,7
21000,149686,149686,7
22000,157435,157435,7
23000,165656,165656,7
24000,174145,174145,7
25000,182576,182576,7
26000,189940,189940,7
27000,197945,197945,7
28000,206250,206250,7
29000,214960,214960,7
30000,223303,223303,7
31000,232298,232298,7
32000,241544,241544,7
33000,250609,250609,7
34000,257181,257181,7
35000,264455,264455,7
36000,271764,271764,7
37000,279837,279837,7
38000,287490,287490,7
39000,295639,295639,7
40000,303945,303945,7
41000,313109,313109,7
42000,320552,320552,7
43000,328681,328681,7
44000,336897,336897,7
45000,346089,346089,7
46000,354195,354195,7
47000,363345,363345,7
48000,372434,372434,7
49000,382677,382677,7
50000,390060,390060,7
1000,5067,5067,8
2000,11097,11097,8
3000,17302,17302,8
4000,24223,24223,8
5000,30493,30493,8
6000,37604,37604,8
7000,44556,44556,8
8000,52407,52407,8
9000,58984,58984,8
10000,66026,66026,8
11000,73185,73185,8
12000,81166,81166,8
13000,88452,88452,8
14000,96154,96154,8
15000,104127,104127,8
16000,112909,112909,8
17000,120053,120053,8
18000,126941,126941,8
19000,134222,134222,8
20000,141967,141967,8
21000,149658,149658,8
22000,157376,157376,8
23000,165660,165660,8
24000,174345,174345,8
25000,182505,182505,8
26000,190010,190010,8
27000,197943,197943,8
28000,206258,206258,8
29000,215043,215043,8
30000,223173,223173,8
31000,232267,232267,8
32000,241608,241608,8
33000,250597,250597,8
34000,257084,257084,8
35000,264379,264379,8
36000,271827,271827,8
37000,279974,279974,8
38000,287428,287428,8
39000,295509,295509,8
40000,304105,304105,8
41000,313219,313219,8
42000,320444,320444,8
43000,328679,328679,8
44000,336881,336881,8
45000,345971,345971,8
46000,354194,354194,8
47000,363348,363348,8
48000,372485,372485,8
49000,382679,382679,8
50000,390099,390099,8
1000,5051,5051,9
2000,11099,11099,9
3000,17287,17287,9
4000,24213,24213,9
5000,30463,30463,9
6000,37558,37558,9
7000,44572,44572,9
8000,52421,52421,9
