n,c,s,trial
1000,142,2127,1
2000,292,4473,1
3000,475,7120,1
4000,583,8163,1
5000,630,12043,1
6000,647,14407,1
7000,825,14915,1
8000,944,19169,1
9000,1563,22350,1
10000,1331,25377,1
11000,1957,26777,1
12000,1186,30225,1
13000,959,32456,1
14000,1151,33724,1
15000,1275,37962,1
16000,1834,40054,1
17000,1717,43999,1
18000,1411,45578,1
19000,2248,48570,1
20000,2526,50070,1
21000,2332,53925,1
22000,2286,56345,1
23000,2104,58305,1
24000,2872,61903,1
25000,3681,64855,1
26000,3280,68103,1
27000,3361,68922,1
28000,3987,72718,1
29000,3749,74656,1
30000,3030,76350,1
31000,3183,81401,1
32000,2924,82793,1
33000,2323,72606,1
34000,2736,89269,1
35000,3205,90735,1
36000,3497,94569,1
37000,3945,96529,1
38000,3189,97986,1
39000,4139,95174,1
40000,4384,105906,1
41000,4674,90834,1
42000,5268,109029,1
43000,5463,113014,1
44000,6454,116481,1
45000,5921,118626,1
46000,6308,121111,1
47000,5813,125227,1
48000,6136,126606,1
49000,3579,129717,1
50000,4448,128396,1
1000,131,2116,2
2000,238,4569,2
3000,449,7005,2
4000,648,9675,2
5000,591,12087,2
6000,558,14760,2
7000,932,17097,2
8000,1010,19892,2
9000,1393,22496,2
10000,881,25254,2
11000,1223,27486,2
12000,1700,30516,2
13000,1701,32454,2
14000,1819,36056,2
15000,2155,38063,2
16000,2076,41180,2
17000,1998,43218,2
18000,1854,45374,2
19000,2407,48087,2
20000,2625,51841,2
21000,3106,54140,2
22000,1811,56018,2
23000,1956,57303,2
24000,2691,62125,2
25000,3407,64823,2
26000,2982,67161,2
27000,2494,70796,2
28000,4553,72866,2
29000,3848,73075,2
30000,4137,77841,2
31000,5034,81378,2
32000,4908,84094,2
33000,3422,85223,2
34000,4081,86238,2
35000,5164,91161,2
36000,3255,86751,2
37000,2877,95153,2
38000,3923,99357,2
39000,2298,102340,2
40000,5190,103512,2
41000,5749,106959,2
42000,4555,109902,2
43000,5937,109909,2
44000,4135,115418,2
45000,4944,113574,2
46000,5801,119677,2
47000,5542,122827,2
48000,4887,123031,2
49000,5414,129053,2
50000,6467,129630,2
1000,131,2288,3
2000,317,4470,3
3000,825,6703,3
4000,860,9215,3
5000,1170,11979,3
6000,859,14803,3
7000,1113,16858,3
8000,1288,20067,3
9000,1182,22573,3
10000,1405,24309,3
11000,1582,25230,3
12000,1532,30179,3
13000,1924,32839,3
14000,2096,36292,3
15000,2105,38101,3
16000,1954,40354,3
17000,2462,43235,3
18000,2262,46324,3
19000,2372,48949,3
20000,2550,51475,3
21000,2543,54014,3
22000,2499,55353,3
23000,3351,57906,3
24000,3481,61942,3
25000,2754,65778,3
26000,3265,53634,3
27000,2996,69620,3
28000,3902,72908,3
29000,4432,75702,3
30000,3787,78264,3
31000,3994,80485,3
32000,5376,83977,3
33000,4906,84907,3
34000,3103,88879,3
35000,4067,90630,3
36000,3676,92196,3
37000,5762,96483,3
38000,5536,99217,3
39000,4780,100061,3
40000,4803,105379,3
41000,4482,106523,3
42000,5748,109618,3
43000,4601,113856,3
44000,4367,115419,3
45000,3167,118429,3
46000,3612,117615,3
47000,4900,124834,3
48000,5034,125907,3
49000,5622,127161,3
50000,5073,131234,3
1000,207,2266,4
2000,331,4495,4
3000,747,7385,4
4000,592,9592,4
5000,798,12240,4
6000,819,12342,4
7000,555,17564,4
8000,656,20014,4
9000,1241,20811,4
10000,1279,24523,4
11000,1636,27846,4
12000,1516,29714,4
13000,1627,32211,4
14000,1786,33886,4
15000,1935,37799,4
16000,2306,41159,4
17000,2432,43620,4
18000,1948,39299,4
19000,2350,48390,4
20000,2643,51536,4
21000,3219,53823,4
22000,2930,57109,4
23000,3086,59180,4
24000,3159,62024,4
25000,2801,63466,4
26000,3412,67157,4
27000,3602,68076,4
28000,3287,72678,4
29000,3608,75266,4
30000,4118,78618,4
31000,3672,77401,4
32000,5292,83254,4
33000,4195,83938,4
34000,5331,88979,4
35000,2990,90155,4
36000,2726,93459,4
37000,3388,96506,4
38000,4645,98698,4
39000,5466,100811,4
40000,5213,104551,4
41000,4897,108051,4
42000,5704,112045,4
43000,4450,110500,4
44000,3986,115035,4
45000,3565,118202,4
46000,4065,121171,4
47000,5944,123796,4
48000,5308,127311,4
49000,5946,128643,4
50000,5723,131839,4
1000,122,2125,5
2000,361,4660,5
3000,328,6179,5
4000,864,9523,5
5000,743,11894,5
6000,1286,13940,5
7000,1132,16504,5
8000,1039,20291,5
9000,1375,22107,5
10000,1441,24838,5
11000,1652,27434,5
12000,1323,30498,5
13000,1890,32151,5
14000,2075,35413,5
15000,1511,36291,5
16000,1376,40465,5
17000,2439,42866,5
18000,2000,39256,5
19000,2474,49327,5
20000,2727,50156,5
21000,3159,54354,5
22000,3276,55164,5
23000,2952,60543,5
24000,3967,60730,5
25000,3936,65285,5
26000,4607,66636,5
27000,3146,69940,5
28000,3362,72591,5
29000,3194,74515,5
30000,3642,76365,5
31000,4527,78506,5
32000,4792,82676,5
33000,4873,86063,5
34000,3959,88828,5
35000,3446,91716,5
36000,4642,93152,5
37000,5528,96625,5
38000,4104,96588,5
39000,5271,100720,5
40000,5178,102745,5
41000,4604,107056,5
42000,4350,110068,5
43000,4085,112856,5
44000,6097,116762,5
45000,6137,118597,5
46000,5095,119614,5
47000,5316,116741,5
48000,4804,126317,5
49000,6451,129195,5
50000,6015,132089,5
