n,c,s,trial
4000,52031,28487,6
5000,67187,36719,6
6000,82172,45345,6
7000,100218,54591,6
8000,112422,61676,6
9000,131772,71752,6
10000,148643,80836,6
11000,165060,89196,6
12000,182855,99082,6
13000,196806,107257,6
14000,217407,117924,6
15000,233708,127655,6
16000,252243,136706,6
17000,270005,146163,6
18000,287464,155840,6
19000,305690,164336,6
20000,323628,173121,6
21000,351739,192596,6
22000,361501,195612,6
23000,380291,206123,6
24000,401295,217842,6
25000,418465,225790,6
26000,436033,235853,6
27000,456615,247034,6
28000,471267,253187,6
29000,489452,264303,6
30000,518290,278219,6
31000,536747,291316,6
32000,555706,299196,6
33000,566695,306247,6
34000,593607,318352,6
35000,617216,333595,6
36000,635058,340887,6
37000,653687,350981,6
38000,671327,360129,6
39000,687212,371321,6
40000,705337,379781,6
41000,726823,390813,6
42000,744778,400925,6
43000,770261,412511,6
44000,799662,430810,6
45000,814426,439460,6
46000,827065,444909,6
47000,859260,464347,6
48000,865604,464173,6
49000,884726,473505,6
50000,902691,484841,6
1000,10162,5780,7
2000,23390,13037,7
3000,36421,19790,7
4000,51514,27967,7
5000,68025,37664,7
6000,83317,45801,7
7000,96987,52889,7
8000,114940,62824,7
9000,131173,71172,7
10000,149813,81914,7
11000,162723,87444,7
12000,180275,97491,7
13000,197190,107022,7
14000,216936,117654,7
15000,232020,125306,7
16000,250656,136450,7
17000,266031,144179,7
18000,292557,158309,7
19000,306701,166026,7
20000,326351,176385,7
21000,342860,186006,7
22000,362099,195930,7
23000,380173,204717,7
24000,405982,220039,7
25000,414728,222861,7
26000,433709,234108,7
27000,447804,241588,7
28000,484108,260763,7
29000,489353,263036,7
30000,504910,271153,7
31000,527688,284355,7
32000,563595,309459,7
33000,559825,303524,7
34000,583138,313009,7
35000,608664,326066,7
36000,631614,340229,7
37000,659865,355853,7
38000,661346,356548,7
39000,696515,374574,7
40000,716928,387078,7
41000,722884,386598,7
42000,756822,408183,7
43000,760762,407127,7
44000,792027,425298,7
45000,809864,435162,7
46000,828914,447732,7
47000,855504,461078,7
48000,867041,464310,7
49000,895572,481487,7
50000,910110,491765,7
1000,10088,5490,8
2000,23267,12947,8
3000,36821,20463,8
4000,53168,29383,8
5000,67740,37197,8
6000,83192,45789,8
7000,99708,54559,8
8000,114096,61920,8
9000,130654,70876,8
10000,147195,80152,8
11000,168949,92735,8
12000,183234,99777,8
13000,199360,109111,8
14000,220753,120914,8
15000,231523,126208,8
16000,252829,135905,8
17000,272224,147487,8
18000,287973,155502,8
19000,311235,169161,8
20000,327674,177273,8
21000,346113,187255,8
22000,361854,194864,8
23000,380473,205697,8
24000,402760,217310,8
25000,417992,227558,8
26000,432676,235640,8
27000,442650,236741,8
28000,477790,257098,8
29000,497612,267778,8
30000,516726,278832,8
31000,526780,283318,8
32000,556474,300541,8
33000,565514,303932,8
34000,595064,320532,8
35000,616633,332375,8
36000,626730,336036,8
37000,656742,353945,8
38000,654672,354091,8
39000,677546,362931,8
40000,712440,384391,8
41000,726830,391437,8
42000,750894,405449,8
43000,767789,413483,8
44000,781332,419309,8
45000,805502,434092,8
46000,827535,445663,8
47000,847241,455411,8
48000,875993,475258,8
49000,902691,485987,8
50000,919691,495757,8
1000,10320,5820,9
2000,23057,12605,9
3000,37189,20541,9
4000,52439,29128,9
5000,67575,36687,9
6000,81506,44706,9
7000,100729,55387,9
8000,115690,63561,9
9000,131022,70987,9
10000,149066,80984,9
11000,166547,91002,9
12000,180080,97356,9
13000,203366,110771,9
14000,218862,118257,9
15000,236157,129324,9
16000,253224,137119,9
17000,272131,147451,9
18000,293075,157883,9
19000,306920,164992,9
20000,325392,174853,9
21000,346946,189471,9
22000,362193,194648,9
23000,379108,204241,9
24000,401932,218005,9
25000,418898,227169,9
26000,436451,236378,9
27000,456013,248062,9
28000,472543,255275,9
29000,490147,263410,9
30000,523865,286496,9
31000,530688,286820,9
32000,551673,297056,9
33000,568656,308026,9
34000,594263,320721,9
35000,616963,332516,9
36000,631893,339833,9
37000,646848,346566,9
38000,674087,362885,9
39000,700061,381216,9
40000,713281,383101,9
41000,727205,390795,9
42000,756885,408516,9
43000,762687,410171,9
44000,780483,417832,9
45000,813822,439000,9
46000,831687,447921,9
47000,855994,459007,9
48000,868108,466573,9
49000,882113,474975,9
50000,913517,490051,9
1000,9862,5515,10
2000,23588,13015,10
3000,37941,21127,10
4000,52856,28906,10
5000,66949,36177,10
6000,82229,44794,10
7000,100588,55568,10
8000,116153,63102,10
9000,132459,71983,10
10000,149964,81981,10
11000,165529,89910,10
12000,184444,100347,10
13000,201005,109989,10
14000,218616,119114,10
15000,236734,127745,10
16000,253143,136773,10
17000,272254,147962,10
18000,292306,157913,10
19000,309598,167710,10
