n,c,s,trial
4000,12201,4069,6
5000,14884,5133,6
6000,15791,6202,6
7000,20971,7361,6
8000,28479,8148,6
9000,30933,9180,6
10000,26306,10305,6
11000,34054,11102,6
12000,34040,12198,6
13000,33686,12967,6
14000,48531,14128,6
15000,38491,15378,6
16000,45919,16149,6
17000,62730,17511,6
18000,49901,18067,6
19000,51942,19633,6
20000,73369,20631,6
21000,71221,21494,6
22000,72835,22382,6
23000,64864,23166,6
24000,73330,24521,6
25000,76913,26486,6
26000,86953,26003,6
27000,69426,27449,6
28000,95754,28796,6
29000,93081,29105,6
30000,103014,30440,6
31000,94919,31165,6
32000,111331,32047,6
33000,89630,33179,6
34000,111141,34517,6
35000,109444,35077,6
36000,123823,36327,6
37000,126296,37310,6
38000,107875,38498,6
39000,142743,40480,6
40000,107330,41103,6
41000,117850,41994,6
42000,119101,42014,6
43000,126990,43609,6
44000,111314,44693,6
45000,132119,45270,6
46000,125214,46013,6
47000,129230,47236,6
48000,169406,48126,6
49000,129725,49854,6
50000,141043,50176,6
1000,2820,1153,7
2000,2371,1001,7
3000,11146,3456,7
4000,11919,4244,7
5000,17521,5135,7
6000,20935,6428,7
7000,17957,7129,7
8000,25237,8069,7
9000,26429,9224,7
10000,28726,10486,7
11000,29707,11502,7
12000,35464,12400,7
13000,46860,13222,7
14000,46425,14319,7
15000,37935,15109,7
16000,51525,16398,7
17000,59845,20579,7
18000,50157,18792,7
19000,57609,19353,7
20000,52251,20565,7
21000,65487,22246,7
22000,75133,23717,7
23000,68860,23627,7
24000,81621,24189,7
25000,79317,26390,7
26000,81421,26355,7
27000,93506,27455,7
28000,102801,28491,7
29000,84074,29120,7
30000,90155,30244,7
31000,80582,31573,7
32000,87053,32688,7
33000,101190,33317,7
34000,87103,34228,7
35000,103423,35492,7
36000,106959,36044,7
37000,117480,37056,7
38000,127132,38394,7
39000,91908,39382,7
40000,109607,40265,7
41000,122525,41253,7
42000,117670,42379,7
43000,100379,43210,7
44000,134672,44538,7
45000,143118,45719,7
46000,145711,47548,7
47000,116839,48047,7
48000,148133,49277,7
49000,137987,50134,7
50000,145958,50277,7
1000,2339,1014,8
2000,5801,2205,8
3000,9691,3178,8
4000,9373,4129,8
5000,14606,5164,8
6000,16384,5991,8
7000,25068,7193,8
8000,23870,8096,8
9000,25363,9211,8
10000,30274,10212,8
11000,31371,11048,8
12000,29210,12113,8
13000,38684,13081,8
14000,45965,14493,8
15000,47094,15188,8
16000,44690,16325,8
17000,49701,17378,8
18000,58667,18090,8
19000,56573,19291,8
20000,68910,20996,8
21000,75601,22360,8
22000,65546,23409,8
23000,59470,23068,8
24000,67545,24311,8
25000,74089,25608,8
26000,85610,26915,8
27000,77957,27057,8
28000,70163,28103,8
29000,75282,30069,8
30000,96319,31131,8
