n,c,s,trial
1000,79,1155,1
2000,147,2441,1
3000,276,3552,1
4000,313,4905,1
5000,458,6082,1
6000,553,7456,1
7000,542,8603,1
8000,409,9921,1
9000,318,11170,1
10000,599,12547,1
11000,746,13631,1
12000,743,15086,1
13000,811,16241,1
14000,911,17677,1
15000,1148,18948,1
16000,1143,20137,1
17000,1055,21344,1
18000,1199,22485,1
19000,1127,22285,1
20000,1234,25029,1
21000,988,26511,1
22000,1351,27640,1
23000,1163,28831,1
24000,1463,30111,1
25000,1527,31478,1
26000,1630,32660,1
27000,1298,34028,1
28000,1678,34972,1
29000,1735,34732,1
30000,1667,37976,1
31000,1911,38967,1
32000,2022,40321,1
33000,1937,41325,1
34000,1940,41642,1
35000,2571,44082,1
36000,2252,45329,1
37000,2269,46228,1
38000,2399,48423,1
39000,2398,49421,1
40000,2078,50625,1
41000,2212,51868,1
42000,2540,52626,1
43000,2645,54314,1
44000,2782,55331,1
45000,2701,56284,1
46000,2038,57966,1
47000,2026,59385,1
48000,2015,60547,1
49000,2534,61926,1
50000,3027,62602,1
1000,66,1176,2
2000,136,2361,2
3000,415,3619,2
4000,422,4800,2
5000,395,6182,2
6000,456,7399,2
7000,393,8115,2
8000,576,9828,2
9000,592,10962,2
10000,571,12508,2
11000,767,13789,2
12000,597,14896,2
13000,403,15840,2
14000,909,17460,2
15000,961,18771,2
16000,994,20025,2
17000,1046,21114,2
18000,1121,22416,2
19000,1277,23931,2
20000,996,25120,2
21000,824,26535,2
22000,1513,27820,2
23000,1446,29140,2
24000,908,30269,2
25000,1266,31473,2
26000,1240,32932,2
27000,1611,33798,2
28000,1451,35134,2
29000,1108,36425,2
30000,1411,38050,2
31000,1603,38840,2
32000,1358,40159,2
33000,2454,41655,2
34000,2479,43122,2
35000,2384,43616,2
36000,1944,45127,2
37000,1618,46289,2
38000,2385,48189,2
39000,2419,49011,2
40000,2519,50055,2
41000,2589,52010,2
42000,2089,53269,2
43000,1873,54644,2
44000,1246,55649,2
45000,2050,57258,2
46000,1372,57762,2
47000,1752,59262,2
48000,2423,60709,2
49000,3268,62166,2
50000,1774,62865,2
1000,72,1123,3
2000,139,2522,3
3000,222,3611,3
4000,347,4832,3
5000,362,6305,3
6000,448,7367,3
7000,459,8602,3
8000,555,9807,3
9000,563,11149,3
10000,638,12481,3
11000,755,13600,3
12000,755,15084,3
13000,624,16133,3
14000,832,16918,3
15000,867,18888,3
16000,1024,19395,3
17000,997,20940,3
18000,1094,22525,3
19000,1023,23865,3
20000,1138,25011,3
21000,799,26494,3
22000,897,27519,3
23000,1091,28725,3
24000,748,29914,3
25000,1460,31565,3
26000,1444,31742,3
27000,1444,34000,3
28000,1834,35371,3
29000,1837,36601,3
30000,1812,37803,3
31000,1574,39099,3
32000,2049,40451,3
33000,2316,41446,3
34000,2198,43005,3
35000,2263,43396,3
36000,2774,45522,3
37000,1567,46757,3
38000,1732,47821,3
39000,2322,48976,3
40000,2355,50653,3
41000,2604,51227,3
42000,1482,53092,3
43000,2768,54288,3
44000,2555,55915,3
45000,2180,56601,3
46000,2961,57531,3
47000,2602,59761,3
48000,2431,60853,3
49000,3171,61959,3
50000,3008,63246,3
1000,70,1217,4
2000,136,2410,4
3000,326,3651,4
4000,282,4932,4
5000,351,6130,4
6000,479,7457,4
7000,763,8574,4
8000,554,9889,4
9000,555,11153,4
10000,605,12424,4
11000,512,13665,4
12000,917,14996,4
13000,540,16290,4
14000,749,17376,4
15000,1049,18930,4
16000,1044,19862,4
17000,1038,21281,4
18000,1173,22565,4
19000,1196,23750,4
20000,1013,25267,4
21000,1401,26268,4
22000,1377,27485,4
23000,1384,28842,4
24000,1452,29969,4
25000,1381,31275,4
26000,1510,32604,4
27000,1647,34022,4
28000,1797,35302,4
29000,1626,36542,4
30000,1600,37804,4
31000,1936,39074,4
32000,2003,40791,4
33000,2425,41737,4
34000,2346,42381,4
35000,1780,44465,4
36000,2190,45438,4
37000,2456,46604,4
38000,1819,48074,4
39000,2025,49356,4
40000,2392,50259,4
41000,2518,52016,4
42000,1881,52463,4
43000,2477,54139,4
44000,2211,55647,4
45000,1650,57051,4
46000,2199,58432,4
47000,1966,59691,4
48000,3270,60892,4
49000,3464,62242,4
50000,2739,63366,4
1000,67,1171,5
2000,137,2384,5
3000,132,3733,5
4000,343,4885,5
5000,409,6287,5
6000,447,7038,5
7000,674,8693,5
8000,525,10062,5
9000,606,11225,5
10000,669,12045,5
11000,751,13638,5
12000,756,14231,5
13000,920,16310,5
14000,885,17476,5
15000,905,18536,5
16000,974,20048,5
17000,1124,20895,5
18000,1163,22623,5
19000,1219,23994,5
20000,1257,25144,5
21000,1301,26453,5
22000,1344,27747,5
23000,1399,28088,5
24000,1286,30107,5
25000,1284,31676,5
26000,1542,32882,5
27000,1196,33956,5
28000,854,35264,5
29000,1611,36376,5
30000,1820,37450,5
31000,1943,39139,5
32000,2105,39852,5
33000,2248,41400,5
34000,2502,43002,5
35000,2501,44443,5
36000,2101,45382,5
37000,2396,46715,5
38000,2708,48020,5
39000,2394,49084,5
40000,1996,50388,5
41000,2073,52360,5
42000,2310,52753,5
43000,2485,54136,5
44000,2327,55595,5
45000,2880,57194,5
46000,2874,58366,5
47000,2932,58942,5
48000,2630,60496,5
49000,2438,61816,5
50000,1544,62920,5
