n,c,trial
40000,524,1
40100,250,1
40200,1088,1
40300,551,1
40400,596,1
40500,579,1
40600,382,1
40700,596,1
40800,1295,1
40900,312,1
41000,460,1
41100,384,1
41200,481,1
41300,421,1
41400,407,1
41500,432,1
41600,508,1
41700,684,1
41800,514,1
41900,358,1
42000,462,1
42100,510,1
42200,836,1
42300,312,1
42400,307,1
42500,481,1
42600,354,1
42700,246,1
42800,510,1
42900,353,1
43000,340,1
43100,435,1
43200,570,1
43300,525,1
43400,475,1
43500,504,1
43600,332,1
43700,508,1
43800,332,1
43900,416,1
44000,409,1
44100,428,1
44200,586,1
44300,366,1
44400,413,1
44500,718,1
44600,416,1
44700,475,1
44800,344,1
44900,363,1
45000,410,1
45100,429,1
45200,511,1
45300,631,1
45400,371,1
45500,514,1
45600,337,1
45700,498,1
45800,545,1
45900,376,1
46000,677,1
46100,490,1
46200,300,1
46300,326,1
46400,465,1
46500,526,1
46600,484,1
46700,526,1
46800,461,1
46900,367,1
47000,524,1
47100,418,1
47200,495,1
47300,534,1
47400,507,1
47500,639,1
47600,534,1
47700,423,1
47800,408,1
47900,423,1
48000,441,1
48100,450,1
48200,520,1
48300,623,1
48400,510,1
48500,542,1
48600,673,1
48700,524,1
48800,358,1
48900,338,1
49000,409,1
49100,511,1
49200,398,1
49300,366,1
49400,385,1
49500,574,1
49600,439,1
49700,329,1
49800,390,1
49900,392,1
50000,421,1
50100,467,1
50200,352,1
50300,5363,1
50400,461,1
50500,464,1
50600,650,1
50700,357,1
50800,550,1
50900,508,1
51000,373,1
51100,661,1
51200,559,1
51300,460,1
51400,508,1
51500,558,1
51600,516,1
51700,621,1
51800,509,1
51900,561,1
52000,251,1
52100,534,1
52200,356,1
52300,358,1
52400,344,1
52500,635,1
52600,405,1
52700,530,1
52800,479,1
52900,317,1
53000,474,1
53100,498,1
53200,399,1
53300,321,1
53400,360,1
53500,406,1
53600,392,1
53700,556,1
53800,538,1
53900,422,1
54000,329,1
54100,521,1
54200,505,1
54300,469,1
54400,386,1
54500,430,1
54600,379,1
54700,784,1
54800,369,1
54900,537,1
55000,615,1
55100,449,1
55200,491,1
55300,350,1
55400,542,1
55500,586,1
55600,436,1
55700,331,1
55800,414,1
55900,365,1
56000,311,1
56100,369,1
56200,449,1
56300,529,1
56400,395,1
56500,409,1
56600,376,1
56700,828,1
56800,327,1
56900,538,1
57000,513,1
57100,315,1
57200,268,1
57300,301,1
57400,465,1
57500,297,1
57600,557,1
57700,725,1
57800,305,1
57900,159,1
58000,431,1
58100,705,1
58200,603,1
58300,323,1
58400,425,1
58500,390,1
58600,356,1
58700,340,1
58800,1355,1
58900,354,1
59000,455,1
59100,1012,1
59200,402,1
59300,530,1
59400,377,1
59500,822,1
59600,1303,1
59700,355,1
59800,398,1
59900,688,1
60000,378,1
60100,306,1
60200,300,1
60300,373,1
60400,341,1
60500,304,1
60600,366,1
60700,772,1
60800,983,1
60900,476,1
61000,497,1
61100,1172,1
61200,363,1
61300,520,1
61400,900,1
61500,473,1
61600,169,1
61700,429,1
61800,626,1
61900,377,1
62000,343,1
62100,295,1
62200,403,1
