n,c,s,trial
4000,52719,19569,6
5000,69029,25588,6
6000,88595,40366,6
7000,94461,38137,6
8000,113896,41201,6
9000,132297,52385,6
10000,142175,52002,6
11000,166547,59526,6
12000,175995,72994,6
13000,195395,72154,6
14000,225004,75221,6
15000,239554,82595,6
16000,256551,93337,6
17000,266267,98258,6
18000,280743,99726,6
19000,309638,111278,6
20000,334107,130103,6
21000,329930,119217,6
22000,356711,125239,6
23000,377251,131542,6
24000,394344,143224,6
25000,393210,150020,6
26000,438168,176094,6
27000,427117,165932,6
28000,467952,176765,6
29000,468880,172524,6
30000,503901,186324,6
31000,524227,180055,6
32000,529336,203592,6
33000,532939,201615,6
34000,568264,216664,6
35000,585514,216863,6
36000,609018,249406,6
37000,622042,239814,6
38000,652723,240904,6
39000,661315,260236,6
40000,664775,235250,6
41000,723740,241450,6
42000,749081,259152,6
43000,753960,272913,6
44000,779211,287071,6
45000,773104,289411,6
46000,804067,281406,6
47000,907331,324517,6
48000,854885,307623,6
49000,870695,330944,6
50000,891137,340096,6
1000,10404,4341,7
2000,22801,9476,7
3000,40831,16243,7
4000,50854,18414,7
5000,68321,23727,7
6000,82542,29601,7
7000,95079,35048,7
8000,116924,42746,7
9000,124560,48889,7
10000,139137,52323,7
11000,160233,58910,7
12000,180140,72728,7
13000,192330,76883,7
14000,211242,85652,7
15000,221774,83452,7
16000,252226,91653,7
17000,262561,93258,7
18000,274561,108092,7
19000,295228,111375,7
20000,322042,111576,7
21000,345839,130336,7
22000,368247,128951,7
23000,364778,136687,7
24000,386239,144684,7
25000,404746,154327,7
26000,412104,151935,7
27000,437746,168794,7
28000,463480,163231,7
29000,496344,176181,7
30000,501584,185608,7
31000,520280,214256,7
32000,536800,207603,7
33000,546927,207498,7
34000,581937,222136,7
35000,593041,226922,7
36000,593052,225576,7
37000,630584,236332,7
38000,628453,244603,7
39000,656355,238297,7
40000,692301,253404,7
41000,691361,282920,7
42000,712327,268031,7
43000,790722,263022,7
44000,799782,310691,7
45000,804625,294924,7
46000,778693,289105,7
47000,821879,308819,7
48000,841533,323808,7
49000,863744,355381,7
50000,880095,310398,7
1000,9995,4355,8
2000,25482,11595,8
3000,37398,13751,8
4000,50183,19637,8
5000,69178,24585,8
6000,80158,31266,8
7000,101176,39067,8
8000,111973,40642,8
9000,125852,47331,8
10000,142591,55048,8
11000,156763,61148,8
12000,181572,60748,8
13000,192052,72425,8
14000,207270,84931,8
15000,238206,88779,8
16000,250625,102871,8
17000,272587,103969,8
18000,278132,97955,8
19000,308813,104819,8
20000,314391,113180,8
21000,350470,123389,8
