n,c,s,trial
4000,57539,25050,6
5000,71191,33173,6
6000,83448,40208,6
7000,100807,44380,6
8000,122234,57625,6
9000,147886,55518,6
10000,150025,74877,6
11000,176250,74752,6
12000,186454,83153,6
13000,220462,95616,6
14000,239833,111150,6
15000,253648,129241,6
16000,275904,125791,6
17000,277981,131575,6
18000,285590,130868,6
19000,331658,165546,6
20000,347394,155076,6
21000,346499,172257,6
22000,369741,157358,6
23000,394454,176080,6
24000,402507,189209,6
25000,438069,173763,6
26000,454521,224913,6
27000,452936,211396,6
28000,533240,236445,6
29000,533981,232780,6
30000,555933,279322,6
31000,525999,249697,6
32000,575724,286400,6
33000,618724,303806,6
34000,630346,303078,6
35000,652495,349230,6
36000,651227,289721,6
37000,678437,304291,6
38000,693060,307737,6
39000,752050,336122,6
40000,719932,351015,6
41000,780378,381530,6
42000,787829,385520,6
43000,780563,375844,6
44000,781887,379454,6
45000,846695,372972,6
46000,899548,408398,6
47000,867920,413156,6
48000,902819,419749,6
49000,1022507,438855,6
50000,1028723,511300,6
1000,11445,4433,7
2000,25012,12560,7
3000,39013,18656,7
4000,55718,28635,7
5000,67951,31438,7
6000,82693,39162,7
7000,103811,51193,7
8000,131453,53031,7
9000,131776,59061,7
10000,152484,65866,7
11000,187929,82977,7
12000,181751,83850,7
13000,204743,88417,7
14000,228333,103693,7
15000,234606,114021,7
16000,262824,121986,7
17000,274223,138737,7
18000,300018,133203,7
19000,310361,138090,7
20000,330624,153915,7
21000,340309,163575,7
22000,365431,167634,7
23000,441992,215070,7
24000,431294,210134,7
25000,430069,201812,7
26000,473805,238293,7
27000,450680,212291,7
28000,490192,232222,7
29000,499547,239411,7
30000,532334,281809,7
31000,571666,229643,7
32000,567306,269453,7
33000,571004,269286,7
34000,619197,267763,7
35000,628957,290753,7
36000,638414,276442,7
37000,649536,302330,7
38000,715124,349054,7
39000,763683,343693,7
40000,762155,368718,7
41000,704488,329604,7
42000,770126,372137,7
43000,804395,390333,7
44000,773407,362515,7
45000,876410,437655,7
46000,866626,410272,7
47000,890151,466404,7
48000,869069,436515,7
49000,922062,414220,7
50000,983304,428461,7
1000,10849,5193,8
2000,24590,10682,8
3000,43411,17583,8
4000,51681,22847,8
5000,73190,34974,8
6000,83805,37281,8
7000,110425,46503,8
8000,121485,56806,8
9000,136216,58560,8
10000,152808,69754,8
11000,176565,83894,8
12000,190713,87986,8
13000,211394,104134,8
14000,224687,108590,8
15000,254199,119081,8
16000,254239,111582,8
17000,275666,124697,8
18000,319043,146336,8
19000,320460,159404,8
20000,344114,153339,8
21000,342733,154280,8
22000,361459,176525,8
23000,393096,175532,8
24000,440316,224314,8
25000,428223,205688,8
26000,448772,219305,8
27000,493933,203246,8
28000,479929,215015,8
29000,538066,262375,8
30000,540001,276177,8
31000,544793,285248,8
32000,537388,249421,8
33000,597903,286808,8
34000,613636,278685,8
35000,659985,323127,8
36000,676898,290906,8
37000,647958,289892,8
38000,701049,321625,8
39000,714781,347784,8
40000,717914,328126,8
41000,771542,344785,8
42000,789126,400179,8
43000,784630,366050,8
44000,830463,404501,8
45000,801340,382412,8
46000,815338,401413,8
47000,877009,414822,8
48000,879654,425606,8
